No.,Symbol,Company,Sector,Industry
377,XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies
378,NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges
379,BG,Bunge Limited,Consumer Defensive,Farm Products
380,CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery
381,CDW,CDW Corporation,Technology,Information Technology Services
382,CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research
383,PAYX,"Paychex, Inc.",Industrials,Staffing & Employment Services
384,SYF,Synchrony Financial,Financial,Credit Services
385,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers
386,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services
387,EBAY,eBay Inc.,Consumer Cyclical,Internet Retail
388,OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream
389,JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics
390,LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos
391,EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial
392,CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products
393,PAYC,"Paycom Software, Inc.",Technology,Software - Application
394,CCI,Crown Castle Inc.,Real Estate,REIT - Specialty
395,VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing
396,FFIV,"F5, Inc.",Technology,Software - Infrastructure
397,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery
398,K,Kellogg Company,Consumer Defensive,Packaged Foods
399,SYY,Sysco Corporation,Consumer Defensive,Food Distribution
400,HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel
401,SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals
402,WDC,Western Digital Corporation,Technology,Computer Hardware
403,SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty
404,SEE,Sealed Air Corporation,Consumer Cyclical,Packaging & Containers
405,IBM,International Business Machines Corporation,Technology,Information Technology Services
406,AES,The AES Corporation,Utilities,Utilities - Diversified
407,IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research
408,CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
409,BXP,"Boston Properties, Inc.",Real Estate,REIT - Office
410,FDS,FactSet Research Systems Inc.,Financial,Financial Data & Stock Exchanges
411,BF.B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries
412,AMT,American Tower Corporation,Real Estate,REIT - Specialty
413,CMA,Comerica Incorporated,Financial,Banks - Regional
414,BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail
415,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers
416,GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services
417,MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential
418,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors
419,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices
420,QRVO,"Qorvo, Inc.",Technology,Semiconductors
421,XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery
422,ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential
423,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
424,DVA,DaVita Inc.,Healthcare,Medical Care Facilities
425,SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories
426,GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution
427,TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials
428,AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water
429,UAL,"United Airlines Holdings, Inc.",Industrials,Airlines
430,HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure
431,MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information
432,STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries
433,AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery
434,HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods
435,ALK,"Alaska Air Group, Inc.",Industrials,Airlines
436,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail
437,TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments
438,DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants
439,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery
440,UDR,"UDR, Inc.",Real Estate,REIT - Residential
441,DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty
442,FSLR,"First Solar, Inc.",Technology,Solar
443,OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery
444,NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery
