No.,Symbol,Company,Sector,Industry,Country,Market Cap,P/E,Book/sh,Cash/sh,Dividend Yield,Short Ratio,Total Debt/Equity,Profit Margin,Performance (Quarter),Performance (YTD),Beta,Earnings Date,Volume,Price,Change
1,AA,Alcoa Corp,Basic Materials,Aluminum,USA,7075.31,,19.96,4.86,1.46%,2.11,0.54,0.005,-0.277,-0.277,2.26,4/16/2025 16:30,9025452,27.33,-11.38%
2,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,228288.99,17.18,27.52,4.59,1.80%,3.17,0.32,0.318,0.164,0.164,0.74,4/16/2025 8:30,6239225,131.63,-0.23%
3,ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,13273.58,12.88,5.81,0.39,2.26%,3.09,4.22,0.013,0.167,0.167,0.46,4/15/2025 8:30,7863855,22.91,2.14%
4,AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,Canada,54569.38,28.7,41.52,1.86,1.36%,3.19,0.06,0.229,0.387,0.387,0.54,4/24/2025 16:30,4655727,108.49,0.89%
5,ALLY,Ally Financial Inc,Financial,Credit Services,USA,10135.47,12.7,37.92,,3.64%,2.86,1.38,0.049,-0.084,-0.084,1.11,4/17/2025 8:30,7592287,33,-10.86%
6,ALV,Autoliv Inc,Consumer Cyclical,Auto Parts,Sweden,6563.11,10.52,29.29,4.26,3.29%,1.92,0.91,0.062,-0.096,-0.096,1.38,4/16/2025 8:30,1175764,84.77,-6.17%
7,APH,Amphenol Corp,Technology,Electronic Components,USA,75930.34,32.67,8.1,2.75,1.07%,1.59,0.74,0.159,-0.098,-0.098,1.13,4/23/2025 8:30,9717071,62.66,-7.72%
8,ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,14929.16,47.91,103.88,3.23,6.21%,2.62,0.83,0.099,-0.116,-0.116,1.26,4/28/2025 16:30,1790727,86.25,-6.59%
9,ASB,Associated Banc-Corp,Financial,Banks - Regional,USA,3317.75,25.79,26.55,,4.61%,2.68,0.8,0.052,-0.162,-0.162,0.77,4/24/2025 16:30,1630233,20.03,-11.45%
10,ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands,245099.95,29.98,48.65,33.55,1.22%,0.97,0.27,0.268,-0.101,-0.101,1.76,4/16/2025 8:30,2877114,623.22,-6.84%
11,AUB,Atlantic Union Bankshares Corp,Financial,Banks - Regional,USA,3605.04,11.93,35.01,,4.98%,5.08,0.2,0.147,-0.280,-0.280,0.79,4/24/2025 8:30,1970436,27.28,-11.02%
12,AVTR,Avantor Inc,Healthcare,Medical Instruments & Supplies,USA,10677.88,15.03,8.75,0.38,,4.71,0.71,0.105,-0.256,-0.256,1.06,4/25/2025 8:30,17685180,15.67,-3.81%
13,AXP,American Express Co,Financial,Credit Services,USA,173748.96,17.69,43.11,57.97,1.32%,2.92,1.69,0.135,-0.165,-0.165,1.24,4/17/2025 8:30,7736239,247.82,-9.97%
14,AYI,Acuity Inc,Industrials,Electrical Equipment & Parts,USA,7964.59,19.5,81.3,12.85,0.23%,2.92,0.47,0.105,-0.119,-0.119,1.59,4/3/2025 8:30,1366866,257.26,-3.43%
15,BAC,Bank Of America Corp,Financial,Banks - Diversified,USA,283046.11,11.58,35.79,,2.92%,2.27,2.26,0.128,-0.153,-0.153,1.28,4/15/2025 8:30,115497878,37.22,-11.06%
16,BANR,Banner Corp,Financial,Banks - Regional,USA,2016.59,12,51.49,,3.35%,3.63,0.34,0.203,-0.124,-0.124,0.88,4/16/2025 16:30,322451,58.52,-8.41%
17,BK,Bank Of New York Mellon Corp,Financial,Banks - Diversified,USA,57373.3,13.76,51.52,,2.44%,2.37,1.62,0.109,0.040,0.040,1.04,4/11/2025 8:30,5262466,79.91,-5.12%
18,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,USA,40455.97,13.72,17.07,4.69,2.24%,2.86,0.4,0.107,-0.004,-0.004,0.91,4/22/2025 16:30,11060505,40.86,-9.04%
19,BKU,BankUnited Inc,Financial,Banks - Regional,USA,2306.07,10.01,37.65,,3.85%,3.25,1.33,0.132,-0.192,-0.192,1.29,4/28/2025 8:30,1395496,30.85,-10.58%
20,BLK,Blackrock Inc,Financial,Asset Management,USA,137810.72,21.13,306.52,82.2,2.41%,2.11,0.3,0.305,-0.134,-0.134,1.42,4/11/2025 8:30,903345,887.65,-7.71%
21,BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,5438.66,43.7,20.61,10.04,0.77%,7.45,0.01,0.151,-0.128,-0.128,0.85,4/17/2025 8:30,267280,184.92,-5.54%
22,BMY,Bristol-Myers Squibb Co,Healthcare,Drug Manufacturers - General,USA,117650.01,,8.05,5.34,4.28%,3.18,3.13,-0.185,0.022,0.022,0.37,4/24/2025 8:30,13246913,57.82,-2.99%
23,BRX,Brixmor Property Group Inc,Real Estate,REIT - Retail,USA,7641.83,22.4,9.77,1.24,4.64%,4.97,1.84,0.263,-0.103,-0.103,1.24,4/28/2025 16:30,3783941,24.97,-6.51%
24,C,Citigroup Inc,Financial,Banks - Diversified,USA,118670.19,10.61,101.62,,3.67%,2.4,2.85,0.067,-0.104,-0.104,1.28,4/15/2025 8:30,39469487,63.05,-12.14%
25,CADE,Cadence Bank,Financial,Banks - Regional,USA,5037.95,9.95,29.44,,3.85%,4.77,0.04,0.174,-0.200,-0.200,0.87,4/21/2025 16:30,1730752,27.57,-9.49%
26,CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods,USA,12782.64,39.19,18.44,0.1,5.23%,3.27,0.93,0.028,-0.035,-0.035,0.17,4/3/2025 8:30,11473418,26.78,1.52%
27,CALM,"Cal-Maine Foods, Inc",Consumer Defensive,Farm Products,USA,4559.8,7.23,41.71,16.25,4.60%,5.74,0,0.204,-0.097,-0.097,0.18,4/8/2025 16:30,833333,92.97,-0.12%
28,CBRE,CBRE Group Inc,Real Estate,Real Estate Services,USA,37156.64,39.38,27.85,4.07,,2.73,0.7,0.027,-0.057,-0.057,1.29,4/24/2025 8:30,2680194,123.84,-7.09%
29,CFG,Citizens Financial Group Inc,Financial,Banks - Regional,USA,15832.99,11.97,50.26,,4.77%,2.8,0.55,0.110,-0.172,-0.172,1.06,4/16/2025 8:30,6962257,36.22,-13.06%
30,CHDN,"Churchill Downs, Inc",Consumer Cyclical,Gambling,USA,8011.65,19.2,14.74,3.44,0.39%,2.79,4.59,0.155,-0.184,-0.184,0.99,4/23/2025 16:30,828147,109.02,-2.48%
31,CHTR,Charter Communications Inc,Communication Services,Telecom Services,USA,58372.2,10.47,109.81,3.19,,10.01,6.17,0.092,0.075,0.075,1.12,4/25/2025 8:30,1445467,368.4,-2.87%
32,CL,Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products,USA,77864.09,27.33,0.26,1.55,2.18%,2.04,40.15,0.144,0.056,0.056,0.39,4/25/2025 8:30,5483421,96,2.62%
33,CMA,"Comerica, Inc",Financial,Banks - Regional,USA,6989.32,10.61,46.79,,5.41%,2.81,1.07,0.139,-0.139,-0.139,0.93,4/21/2025 8:30,2919561,53.27,-10.08%
