Date,Action,Symbol,Company,Reason,,,,,,,,,,
14-Dec-21,Removed,KSU,Kansas City Southern,Canadian Pacific acquired Kansas City Southern.[32],,,,,,,,,,
20-Sep-21,Added,MTCH,Match Group,Market capitalization change.[33],,,,,,,,,,
20-Sep-21,Added,CDAY,Ceridian,Market capitalization change.[33],,,,,,,,,,
20-Sep-21,Added,BRO,Brown & Brown,Market capitalization change.[33],,,,,,,,,,
20-Sep-21,Removed,PRGO,Perrigo,Market capitalization change.[33],,,,,,,,,,
20-Sep-21,Removed,UNM,Unum,Market capitalization change.[33],,,,,,,,,,
20-Sep-21,Removed,NOV,Nov,Market capitalization change.[33],,,,,,,,,,
30-Aug-21,Added,TECH,Bio-Techne,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[34],,,,,,,,,,
30-Aug-21,Removed,MXIM,Maxim Integrated,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[34],,,,,,,,,,
21-Jul-21,Added,MRNA,Moderna,AstraZeneca acquired Alexion Pharmaceuticals.[35],,,,,,,,,,
21-Jul-21,Removed,ALXN,Alexion Pharmaceuticals,AstraZeneca acquired Alexion Pharmaceuticals.[35],,,,,,,,,,
4-Jun-21,Removed,HFC,HollyFrontier,Market capitalization change.[36],,,,,,,,,,
3-Jun-21,Added,OGN,Organon & Co.,S&P 500/100 constituent Merck & Co. spun off Organon.[36],,,,,,,,,,
14-May-21,Added,CRL,Charles River Laboratories,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.[37],,,,,,,,,,
14-May-21,Removed,FLIR,FLIR Systems,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.[37],,,,,,,,,,
20-Apr-21,Added,PTC,PTC,Siemens Healthineers acquired Varian Medical Systems.[38],,,,,,,,,,
20-Apr-21,Removed,VAR,Varian Medical Systems,Siemens Healthineers acquired Varian Medical Systems.[38],,,,,,,,,,
22-Mar-21,Added,NXPI,NXP,Market capitalization change.[39],,,,,,,,,,
22-Mar-21,Added,PENN,Penn National Gaming,Market capitalization change.[39],,,,,,,,,,
22-Mar-21,Added,GNRC,Generac Holdings,Market capitalization change.[39],,,,,,,,,,
22-Mar-21,Added,CZR,Caesars Entertainment,Market capitalization change.[39],,,,,,,,,,
22-Mar-21,Removed,FLS,Flowserve,Market capitalization change.[39],,,,,,,,,,
22-Mar-21,Removed,SLG,SL Green Realty,Market capitalization change.[39],,,,,,,,,,
22-Mar-21,Removed,XRX,Xerox,Market capitalization change.[39],,,,,,,,,,
22-Mar-21,Removed,VNT,Vontier,Market capitalization change.[39],,,,,,,,,,
12-Feb-21,Added,MPWR,Monolithic Power Systems,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.[40],,,,,,,,,,
12-Feb-21,Removed,FTI,TechnipFMC,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.[40],,,,,,,,,,
21-Jan-21,Added,TRMB,Trimble,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[41],,,,,,,,,,
21-Jan-21,Removed,CXO,Concho Resources,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[41],,,,,,,,,,
7-Jan-21,Added,ENPH,Enphase Energy,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[42],,,,,,,,,,
7-Jan-21,Removed,TIF,Tiffany & Co,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[42],,,,,,,,,,
21-Dec-20,Added,TSLA,Tesla,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[43],,,,,,,,,,
21-Dec-20,Removed,AIV,Apartment Investment & Management,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[43],,,,,,,,,,
12-Oct-20,Removed,NBL,Noble Energy,Chevron acquired Noble Energy.[44],,,,,,,,,,
