No.,Symbol,Company,Sector,Industry,Country
181,FAST,Fastenal Co,Industrials,Industrial Distribution,USA
182,FCX,Freeport-McMoRan Inc,Basic Materials,Copper,USA
183,FDS,Factset Research Systems Inc,Financial,Financial Data & Stock Exchanges,USA
184,FDX,Fedex Corp,Industrials,Integrated Freight & Logistics,USA
185,FE,Firstenergy Corp,Utilities,Utilities - Regulated Electric,USA
186,FFIV,F5 Inc,Technology,Software - Infrastructure,USA
187,FI,"Fiserv, Inc",Technology,Information Technology Services,USA
188,FICO,Fair Isaac Corp,Technology,Software - Application,USA
189,FIS,"Fidelity National Information Services, Inc",Technology,Information Technology Services,USA
190,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA
191,FOX,Fox Corporation,Communication Services,Entertainment,USA
192,FOXA,Fox Corporation,Communication Services,Entertainment,USA
193,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,USA
194,FSLR,First Solar Inc,Technology,Solar,USA
195,FTNT,Fortinet Inc,Technology,Software - Infrastructure,USA
196,FTV,Fortive Corp,Technology,Scientific & Technical Instruments,USA
197,GD,General Dynamics Corp,Industrials,Aerospace & Defense,USA
198,GDDY,Godaddy Inc,Technology,Software - Infrastructure,USA
199,GE,GE Aerospace,Industrials,Aerospace & Defense,USA
200,GEHC,GE HealthCare Technologies Inc,Healthcare,Medical Devices,USA
201,GEN,Gen Digital Inc,Technology,Software - Infrastructure,USA
202,GEV,GE Vernova Inc,Industrials,Specialty Industrial Machinery,USA
203,GILD,"Gilead Sciences, Inc",Healthcare,Drug Manufacturers - General,USA
204,GIS,"General Mills, Inc",Consumer Defensive,Packaged Foods,USA
205,GL,Globe Life Inc,Financial,Insurance - Life,USA
206,GLW,"Corning, Inc",Technology,Electronic Components,USA
207,GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA
208,GNRC,Generac Holdings Inc,Industrials,Specialty Industrial Machinery,USA
209,GOOG,Alphabet Inc,Communication Services,Internet Content & Information,USA
210,GOOGL,Alphabet Inc,Communication Services,Internet Content & Information,USA
211,GPC,Genuine Parts Co,Consumer Cyclical,Auto Parts,USA
212,GPN,"Global Payments, Inc",Technology,Software - Infrastructure,USA
213,GRMN,Garmin Ltd,Technology,Scientific & Technical Instruments,Switzerland
214,GS,"Goldman Sachs Group, Inc",Financial,Capital Markets,USA
215,GWW,W.W. Grainger Inc,Industrials,Industrial Distribution,USA
216,HAL,Halliburton Co,Energy,Oil & Gas Equipment & Services,USA
217,HAS,"Hasbro, Inc",Consumer Cyclical,Leisure,USA
218,HBAN,"Huntington Bancshares, Inc",Financial,Banks - Regional,USA
219,HCA,HCA Healthcare Inc,Healthcare,Medical Care Facilities,USA
220,HD,"Home Depot, Inc",Consumer Cyclical,Home Improvement Retail,USA
221,HES,Hess Corporation,Energy,Oil & Gas E&P,USA
222,HIG,Hartford Insurance Group Inc.(The),Financial,Insurance - Property & Casualty,USA
223,HII,Huntington Ingalls Industries Inc,Industrials,Aerospace & Defense,USA
224,HLT,Hilton Worldwide Holdings Inc,Consumer Cyclical,Lodging,USA
225,HOLX,"Hologic, Inc",Healthcare,Medical Instruments & Supplies,USA
226,HON,Honeywell International Inc,Industrials,Conglomerates,USA
227,HPE,Hewlett Packard Enterprise Co,Technology,Communication Equipment,USA
228,HPQ,HP Inc,Technology,Computer Hardware,USA
229,HRL,Hormel Foods Corp,Consumer Defensive,Packaged Foods,USA
230,HSIC,Henry Schein Inc,Healthcare,Medical Distribution,USA
231,HST,Host Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,USA
232,HSY,Hershey Company,Consumer Defensive,Confectioners,USA
233,HUBB,Hubbell Inc,Industrials,Electrical Equipment & Parts,USA
234,HUM,Humana Inc,Healthcare,Healthcare Plans,USA
235,HWM,Howmet Aerospace Inc,Industrials,Aerospace & Defense,USA
236,IBM,International Business Machines Corp,Technology,Information Technology Services,USA
237,ICE,Intercontinental Exchange Inc,Financial,Financial Data & Stock Exchanges,USA
238,IDXX,"Idexx Laboratories, Inc",Healthcare,Diagnostics & Research,USA
239,IEX,Idex Corporation,Industrials,Specialty Industrial Machinery,USA
240,IFF,International Flavors & Fragrances Inc,Basic Materials,Specialty Chemicals,USA
241,INCY,Incyte Corp,Healthcare,Biotechnology,USA
242,INTC,Intel Corp,Technology,Semiconductors,USA
243,INTU,Intuit Inc,Technology,Software - Application,USA
244,INVH,Invitation Homes Inc,Real Estate,REIT - Residential,USA
245,IP,International Paper Co,Consumer Cyclical,Packaging & Containers,USA
246,IPG,"Interpublic Group Of Cos., Inc",Communication Services,Advertising Agencies,USA
247,IQV,IQVIA Holdings Inc,Healthcare,Diagnostics & Research,USA
248,IR,Ingersoll-Rand Inc,Industrials,Specialty Industrial Machinery,USA
249,IRM,Iron Mountain Inc,Real Estate,REIT - Specialty,USA
250,ISRG,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies,USA
251,IT,"Gartner, Inc",Technology,Information Technology Services,USA
252,ITW,"Illinois Tool Works, Inc",Industrials,Specialty Industrial Machinery,USA
253,IVZ,Invesco Ltd,Financial,Asset Management,USA
254,J,Jacobs Solutions Inc,Industrials,Engineering & Construction,USA
255,JBHT,"J.B. Hunt Transport Services, Inc",Industrials,Integrated Freight & Logistics,USA
256,JBL,Jabil Inc,Technology,Electronic Components,USA
257,JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,Ireland
258,JKHY,"Jack Henry & Associates, Inc",Technology,Information Technology Services,USA
259,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA
260,JNPR,Juniper Networks Inc,Technology,Communication Equipment,USA
261,JPM,JPMorgan Chase & Co,Financial,Banks - Diversified,USA
262,K,Kellanova,Consumer Defensive,Packaged Foods,USA
263,KDP,Keurig Dr Pepper Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA
264,KEY,Keycorp,Financial,Banks - Regional,USA
265,KEYS,Keysight Technologies Inc,Technology,Scientific & Technical Instruments,USA
266,KHC,Kraft Heinz Co,Consumer Defensive,Packaged Foods,USA
267,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,USA
268,KKR,KKR & Co. Inc,Financial,Asset Management,USA
269,KLAC,KLA Corp,Technology,Semiconductor Equipment & Materials,USA
270,KMB,Kimberly-Clark Corp,Consumer Defensive,Household & Personal Products,USA
271,KMI,Kinder Morgan Inc,Energy,Oil & Gas Midstream,USA
272,KMX,Carmax Inc,Consumer Cyclical,Auto & Truck Dealerships,USA
273,KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic,USA
274,KR,Kroger Co,Consumer Defensive,Grocery Stores,USA
275,KVUE,Kenvue Inc,Consumer Defensive,Household & Personal Products,USA
276,L,Loews Corp,Financial,Insurance - Property & Casualty,USA
277,LDOS,Leidos Holdings Inc,Technology,Information Technology Services,USA
278,LEN,Lennar Corp,Consumer Cyclical,Residential Construction,USA
279,LH,Labcorp Holdings Inc,Healthcare,Diagnostics & Research,USA
280,LHX,L3Harris Technologies Inc,Industrials,Aerospace & Defense,USA
281,LII,Lennox International Inc,Industrials,Building Products & Equipment,USA
282,LIN,Linde Plc,Basic Materials,Specialty Chemicals,United Kingdom
283,LKQ,LKQ Corp,Consumer Cyclical,Auto Parts,USA
284,LLY,Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,USA
285,LMT,Lockheed Martin Corp,Industrials,Aerospace & Defense,USA
286,LNT,Alliant Energy Corp,Utilities,Utilities - Regulated Electric,USA
287,LOW,"Lowe's Cos., Inc",Consumer Cyclical,Home Improvement Retail,USA
288,LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,USA
289,LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada
290,LUV,Southwest Airlines Co,Industrials,Airlines,USA
291,LVS,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos,USA
292,LW,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods,USA
293,LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,United Kingdom
294,LYV,Live Nation Entertainment Inc,Communication Services,Entertainment,USA
295,MA,Mastercard Incorporated,Financial,Credit Services,USA
296,MAA,"Mid-America Apartment Communities, Inc",Real Estate,REIT - Residential,USA
297,MAR,"Marriott International, Inc",Consumer Cyclical,Lodging,USA
298,MAS,Masco Corp,Industrials,Building Products & Equipment,USA
299,MCD,McDonald's Corp,Consumer Cyclical,Restaurants,USA
300,MCHP,"Microchip Technology, Inc",Technology,Semiconductors,USA
301,MCK,Mckesson Corporation,Healthcare,Medical Distribution,USA
302,MCO,Moody's Corp,Financial,Financial Data & Stock Exchanges,USA
303,MDLZ,Mondelez International Inc,Consumer Defensive,Confectioners,USA
304,MDT,Medtronic Plc,Healthcare,Medical Devices,Ireland
305,MET,Metlife Inc,Financial,Insurance - Life,USA
306,META,Meta Platforms Inc,Communication Services,Internet Content & Information,USA
307,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA
308,MHK,"Mohawk Industries, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
309,MKC,"McCormick & Co., Inc",Consumer Defensive,Packaged Foods,USA
310,MKTX,MarketAxess Holdings Inc,Financial,Capital Markets,USA
311,MLM,"Martin Marietta Materials, Inc",Basic Materials,Building Materials,USA
312,MMC,"Marsh & McLennan Cos., Inc",Financial,Insurance Brokers,USA
313,MMM,3M Co,Industrials,Conglomerates,USA
314,MNST,Monster Beverage Corp,Consumer Defensive,Beverages - Non-Alcoholic,USA
315,MO,Altria Group Inc,Consumer Defensive,Tobacco,USA
316,MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans,USA
317,MOS,Mosaic Company,Basic Materials,Agricultural Inputs,USA
318,MPC,Marathon Petroleum Corp,Energy,Oil & Gas Refining & Marketing,USA
319,MPWR,Monolithic Power System Inc,Technology,Semiconductors,USA
320,MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General,USA
321,MRNA,Moderna Inc,Healthcare,Biotechnology,USA
322,MS,Morgan Stanley,Financial,Capital Markets,USA
323,MSCI,MSCI Inc,Financial,Financial Data & Stock Exchanges,USA
324,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA
325,MSI,Motorola Solutions Inc,Technology,Communication Equipment,USA
326,MTB,M & T Bank Corp,Financial,Banks - Regional,USA
327,MTCH,Match Group Inc,Communication Services,Internet Content & Information,USA
328,MTD,"Mettler-Toledo International, Inc",Healthcare,Diagnostics & Research,USA
329,MU,Micron Technology Inc,Technology,Semiconductors,USA
330,NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical,Travel Services,USA
331,NDAQ,Nasdaq Inc,Financial,Financial Data & Stock Exchanges,USA
332,NDSN,Nordson Corp,Industrials,Specialty Industrial Machinery,USA
333,NEE,NextEra Energy Inc,Utilities,Utilities - Regulated Electric,USA
334,NEM,Newmont Corp,Basic Materials,Gold,USA
335,NFLX,Netflix Inc,Communication Services,Entertainment,USA
336,NI,NiSource Inc,Utilities,Utilities - Regulated Gas,USA
337,NKE,"Nike, Inc",Consumer Cyclical,Footwear & Accessories,USA
338,NOC,Northrop Grumman Corp,Industrials,Aerospace & Defense,USA
339,NOW,ServiceNow Inc,Technology,Software - Application,USA
340,NRG,NRG Energy Inc,Utilities,Utilities - Independent Power Producers,USA
341,NSC,Norfolk Southern Corp,Industrials,Railroads,USA
342,NTAP,Netapp Inc,Technology,Computer Hardware,USA
343,NTRS,Northern Trust Corp,Financial,Asset Management,USA
344,NUE,Nucor Corp,Basic Materials,Steel,USA
345,NVDA,NVIDIA Corp,Technology,Semiconductors,USA
346,NVR,NVR Inc,Consumer Cyclical,Residential Construction,USA
347,NWS,News Corp,Communication Services,Entertainment,USA
348,NWSA,News Corp,Communication Services,Entertainment,USA
349,NXPI,NXP Semiconductors NV,Technology,Semiconductors,Netherlands
350,O,Realty Income Corp,Real Estate,REIT - Retail,USA
351,ODFL,"Old Dominion Freight Line, Inc",Industrials,Trucking,USA
352,OKE,Oneok Inc,Energy,Oil & Gas Midstream,USA
353,OMC,"Omnicom Group, Inc",Communication Services,Advertising Agencies,USA
354,ON,ON Semiconductor Corp,Technology,Semiconductors,USA
355,ORCL,Oracle Corp,Technology,Software - Infrastructure,USA
356,ORLY,"O'Reilly Automotive, Inc",Consumer Cyclical,Auto Parts,USA
357,OTIS,Otis Worldwide Corp,Industrials,Specialty Industrial Machinery,USA
358,OXY,Occidental Petroleum Corp,Energy,Oil & Gas E&P,USA
359,PANW,Palo Alto Networks Inc,Technology,Software - Infrastructure,USA
360,PARA,Paramount Global,Communication Services,Entertainment,USA
361,PAYC,Paycom Software Inc,Technology,Software - Application,USA
362,PAYX,Paychex Inc,Technology,Software - Application,USA
363,PCAR,Paccar Inc,Industrials,Farm & Heavy Construction Machinery,USA
364,PCG,PG&E Corp,Utilities,Utilities - Regulated Electric,USA
365,PEG,Public Service Enterprise Group Inc,Utilities,Utilities - Regulated Electric,USA
366,PEP,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA
367,PFE,Pfizer Inc,Healthcare,Drug Manufacturers - General,USA
368,PFG,Principal Financial Group Inc,Financial,Asset Management,USA
369,PG,Procter & Gamble Co,Consumer Defensive,Household & Personal Products,USA
370,PGR,Progressive Corp,Financial,Insurance - Property & Casualty,USA
371,PH,Parker-Hannifin Corp,Industrials,Specialty Industrial Machinery,USA
372,PHM,PulteGroup Inc,Consumer Cyclical,Residential Construction,USA
