No.,Symbol,Company
416,SNPS,"Synopsys, Inc."
417,SO,Southern Company
418,SOLV,Solventum Corp
419,SPG,"Simon Property Group, Inc."
420,SPGI,S&P Global Inc
421,SRE,Sempra
422,STE,Steris Plc
423,STLD,Steel Dynamics Inc.
424,STT,State Street Corp.
425,STX,Seagate Technology Holdings Plc
426,STZ,Constellation Brands Inc
427,SW,Smurfit WestRock plc
428,SWK,Stanley Black & Decker Inc
429,SWKS,"Skyworks Solutions, Inc."
430,SYF,Synchrony Financial
431,SYK,Stryker Corp.
432,SYY,Sysco Corp.
433,T,"AT&T, Inc."
434,TAP,Molson Coors Beverage Company
435,TDG,Transdigm Group Incorporated
436,TDY,Teledyne Technologies Inc
437,TECH,Bio-Techne Corp
438,TEL,TE Connectivity Ltd
439,TER,"Teradyne, Inc."
440,TFC,Truist Financial Corporation
441,TFX,Teleflex Incorporated
442,TGT,Target Corp
443,TJX,"TJX Companies, Inc."
444,TMO,Thermo Fisher Scientific Inc.
445,TMUS,T-Mobile US Inc
446,TPR,Tapestry Inc
447,TRGP,Targa Resources Corp
448,TRMB,Trimble Inc
449,TROW,T. Rowe Price Group Inc.
450,TRV,Travelers Companies Inc.
451,TSCO,Tractor Supply Co.
452,TSLA,Tesla Inc
453,TSN,"Tyson Foods, Inc."
454,TT,Trane Technologies plc
455,TTWO,"Take-Two Interactive Software, Inc."
456,TXN,Texas Instruments Inc.
457,TXT,Textron Inc.
458,TYL,"Tyler Technologies, Inc."
459,UAL,United Airlines Holdings Inc
460,UBER,Uber Technologies Inc
461,UDR,UDR Inc
462,UHS,"Universal Health Services, Inc."
463,ULTA,Ulta Beauty Inc
464,UNH,Unitedhealth Group Inc
465,UNP,Union Pacific Corp.
